id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time
8cljq,1,vectorized_logs,1706005780.2684724,1706005780.2961829,1706005780.390892,1706005780.3928683,1706005780.583145
8cljq,2,vectorized_logs,1706005780.3705065,1706005780.3918185,1706005780.4134986,1706005780.5834663,1706005780.623518
8cljq,3,vectorized_logs,1706005780.4720142,1706005780.5148547,1706005780.5473723,1706005780.6236763,1706005780.6597378
8cljq,4,vectorized_logs,1706005780.5741394,1706005780.6485143,1706005780.6753044,1706005780.6769361,1706005780.7284753
8cljq,5,vectorized_logs,1706005780.6759381,1706005780.7765076,1706005780.8016148,1706005780.803437,1706005780.8614633
8cljq,6,vectorized_logs,1706005780.7771099,1706005780.802227,1706005780.8237324,1706005780.8616807,1706005780.9052286
8cljq,7,vectorized_logs,1706005780.878499,1706005780.9251738,1706005780.9575663,1706005780.9593873,1706005781.0135307
8cljq,8,vectorized_logs,1706005780.9794333,1706005781.0585794,1706005781.0806527,1706005781.0824144,1706005781.141339
8cljq,9,vectorized_logs,1706005781.0806308,1706005781.0813434,1706005781.1024992,1706005781.141501,1706005781.1787205
8cljq,10,vectorized_logs,1706005781.1818528,1706005781.2037973,1706005781.2310755,1706005781.2325869,1706005781.2831092
4wkbq,1,vectorized_logs,1706005781.1332548,1706005781.1817446,1706005781.2733893,1706005781.2833138,1706005781.3222988
4wkbq,2,vectorized_logs,1706005781.2342064,1706005781.2743304,1706005781.2962427,1706005781.3224802,1706005781.3578854
8cljq,11,vectorized_logs,1706005781.2840147,1706005781.3324149,1706005781.3643372,1706005781.3659136,1706005781.408015
4wkbq,3,vectorized_logs,1706005781.336245,1706005781.3977356,1706005781.4303603,1706005781.4318104,1706005781.4775398
8cljq,12,vectorized_logs,1706005781.3854766,1706005781.465685,1706005781.498928,1706005781.5005527,1706005781.5476203
8cljq,13,vectorized_logs,1706005781.486895,1706005781.4994934,1706005781.5207665,1706005781.5477953,1706005781.5832384
4wkbq,4,vectorized_logs,1706005781.4384634,1706005781.5316288,1706005781.5634573,1706005781.5834079,1706005781.619363
4wkbq,5,vectorized_logs,1706005781.5399778,1706005781.564079,1706005781.5858378,1706005781.619564,1706005781.654113
8cljq,14,vectorized_logs,1706005781.588798,1706005781.6221094,1706005781.6544373,1706005781.6557965,1706005781.6896412
4wkbq,6,vectorized_logs,1706005781.6414409,1706005781.6873364,1706005781.718802,1706005781.7204206,1706005781.776229
8cljq,15,vectorized_logs,1706005781.6900432,1706005781.7558267,1706005781.787703,1706005781.789191,1706005781.83574
4wkbq,7,vectorized_logs,1706005781.742314,1706005781.8200288,1706005781.847106,1706005781.8487198,1706005781.896298
4wkbq,8,vectorized_logs,1706005781.8433342,1706005781.8476748,1706005781.8685443,1706005781.8964593,1706005781.9322627
8cljq,16,vectorized_logs,1706005781.791695,1706005781.8887951,1706005781.9157765,1706005781.9324446,1706005781.9732075
8cljq,17,vectorized_logs,1706005781.8925934,1706005781.9163342,1706005781.9371915,1706005781.9733953,1706005782.0161939
4wkbq,9,vectorized_logs,1706005781.94467,1706005781.969685,1706005781.997015,1706005782.016363,1706005782.0540118
8cljq,18,vectorized_logs,1706005781.9944081,1706005782.038435,1706005782.0706906,1706005782.072054,1706005782.114126
4wkbq,10,vectorized_logs,1706005782.0464342,1706005782.098075,1706005782.125002,1706005782.1264257,1706005782.171604
8cljq,19,vectorized_logs,1706005782.096025,1706005782.1719718,1706005782.2054954,1706005782.20717,1706005782.2566214
8cljq,20,vectorized_logs,1706005782.1975477,1706005782.2060626,1706005782.226392,1706005782.256784,1706005782.292246
4wkbq,11,vectorized_logs,1706005782.1472402,1706005782.2263994,1706005782.2604342,1706005782.2924285,1706005782.329132
4wkbq,12,vectorized_logs,1706005782.249124,1706005782.2610667,1706005782.2821164,1706005782.329288,1706005782.3638413
8cljq,21,vectorized_logs,1706005782.299045,1706005782.327795,1706005782.3565571,1706005782.3640163,1706005782.4028485
4wkbq,13,vectorized_logs,1706005782.3510067,1706005782.3835194,1706005782.416292,1706005782.417848,1706005782.458507
8cljq,22,vectorized_logs,1706005782.4004338,1706005782.4581153,1706005782.4911125,1706005782.492641,1706005782.5376167
4wkbq,14,vectorized_logs,1706005782.4527497,1706005782.5175579,1706005782.5479498,1706005782.549502,1706005782.599369
8cljq,23,vectorized_logs,1706005782.5023196,1706005782.5946856,1706005782.621525,1706005782.6230042,1706005782.6790695
8cljq,24,vectorized_logs,1706005782.6032472,1706005782.6220956,1706005782.6425362,1706005782.6792405,1706005782.7217712
