type,time
logs,0.2697298526763916
logs,0.0854334831237793
logs,0.0715029239654541
logs,0.07918429374694824
logs,0.0891880989074707
logs,0.06904482841491699
logs,0.07702207565307617
logs,0.07976150512695312
logs,0.08930730819702148
logs,0.08194851875305176
logs,0.08624458312988281
logs,0.07796764373779297
logs,0.08991718292236328
logs,0.08846569061279297
logs,0.07313013076782227
logs,0.08472704887390137
logs,0.07799291610717773
logs,0.07832574844360352
logs,0.07888913154602051
logs,0.0780792236328125
logs,0.07953643798828125
logs,0.07450032234191895
logs,0.08057379722595215
logs,0.07012057304382324
logs,0.07155632972717285
logs,0.0684044361114502
logs,0.07459425926208496
logs,0.07678866386413574
logs,0.07832884788513184
logs,0.07781386375427246
logs,0.0780174732208252
logs,0.07055854797363281
logs,0.07568240165710449
logs,0.06813836097717285
logs,0.07744932174682617
logs,0.07895421981811523
logs,0.07224702835083008
logs,0.0756680965423584
logs,0.08308005332946777
logs,0.06931543350219727
logs,0.07723546028137207
logs,0.07301139831542969
logs,0.09067988395690918
logs,0.07348418235778809
logs,0.09093570709228516
logs,0.07357478141784668
logs,0.08812975883483887
logs,0.08138608932495117
logs,0.07718253135681152
logs,0.07576894760131836
logs,0.07861471176147461
logs,0.06944942474365234
logs,0.08351469039916992
logs,0.07954764366149902
logs,0.08900856971740723
logs,0.08237624168395996
logs,0.08208918571472168
logs,0.0769960880279541
logs,0.08269953727722168
logs,0.08547782897949219
logs,0.0888059139251709
logs,0.08257603645324707
logs,0.07370686531066895
logs,0.07297372817993164
logs,0.08177042007446289
logs,0.07879233360290527
logs,0.06970071792602539
logs,0.09415435791015625
logs,0.08087539672851562
logs,0.0784149169921875
logs,0.07627129554748535
logs,0.07538557052612305
logs,0.07682418823242188
logs,0.07006359100341797
logs,0.06751632690429688
logs,0.07490205764770508
logs,0.07935595512390137
logs,0.07633256912231445
logs,0.0755760669708252
logs,0.08292937278747559
logs,0.07219314575195312
logs,0.09223604202270508
logs,0.0767831802368164
logs,0.08039736747741699
logs,0.06893444061279297
logs,0.07790112495422363
logs,0.0809173583984375
logs,0.06705284118652344
logs,0.07756471633911133
logs,0.07539963722229004
logs,0.08037686347961426
