id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time
hczfz,1,vectorized_logs,1706019157.2092755,1706019157.2498212,1706019157.346603,1706019157.3469,1706019157.5148604
hczfz,2,vectorized_logs,1706019157.313906,1706019157.3473897,1706019157.3686426,1706019157.515144,1706019157.55689
hczfz,3,vectorized_logs,1706019157.4148352,1706019157.4700527,1706019157.501964,1706019157.5570228,1706019157.5911746
dpjfq,1,vectorized_logs,1706019157.2235963,1706019157.2577496,1706019157.3582351,1706019157.5913143,1706019157.6232824
wc4q6,1,vectorized_logs,1706019157.2217057,1706019157.2941556,1706019157.3917046,1706019157.623422,1706019157.656189
dpjfq,2,vectorized_logs,1706019157.3259041,1706019157.3589272,1706019157.3797343,1706019157.6563241,1706019157.689511
wc4q6,2,vectorized_logs,1706019157.325903,1706019157.3925436,1706019157.4136994,1706019157.6896489,1706019157.7258306
dpjfq,3,vectorized_logs,1706019157.4273527,1706019157.4809911,1706019157.5117383,1706019157.725962,1706019157.7602124
wc4q6,3,vectorized_logs,1706019157.4268699,1706019157.5150313,1706019157.5465407,1706019157.7603405,1706019157.7949948
dpjfq,4,vectorized_logs,1706019157.5291138,1706019157.6128638,1706019157.6416702,1706019157.7951412,1706019157.8273928
wc4q6,4,vectorized_logs,1706019157.528327,1706019157.5470333,1706019157.5675128,1706019157.8275394,1706019157.8609934
dpjfq,5,vectorized_logs,1706019157.63008,1706019157.642247,1706019157.6633923,1706019157.8611465,1706019157.8962376
wc4q6,5,vectorized_logs,1706019157.629905,1706019157.6687422,1706019157.6900835,1706019157.896391,1706019157.9307764
dpjfq,6,vectorized_logs,1706019157.7309973,1706019157.7645562,1706019157.8046606,1706019157.9309425,1706019157.9651046
wc4q6,6,vectorized_logs,1706019157.7305667,1706019157.7909384,1706019157.8166275,1706019157.9652371,1706019158.000702
dpjfq,7,vectorized_logs,1706019157.83248,1706019157.9060216,1706019157.9386318,1706019158.0008616,1706019158.0352783
wc4q6,7,vectorized_logs,1706019157.831998,1706019157.917739,1706019157.9502256,1706019158.035406,1706019158.0722003
dpjfq,8,vectorized_logs,1706019157.9339821,1706019157.9391766,1706019157.9593997,1706019158.0723298,1706019158.1087906
wc4q6,8,vectorized_logs,1706019157.9339004,1706019157.950696,1706019157.970624,1706019158.1089346,1706019158.145518
dpjfq,9,vectorized_logs,1706019158.0363083,1706019158.0603764,1706019158.0839524,1706019158.1456463,1706019158.181328
wc4q6,9,vectorized_logs,1706019158.0345478,1706019158.072123,1706019158.103164,1706019158.1814685,1706019158.2158728
dpjfq,10,vectorized_logs,1706019158.1374376,1706019158.1852033,1706019158.2156138,1706019158.2160468,1706019158.2543857
wc4q6,10,vectorized_logs,1706019158.1360807,1706019158.204625,1706019158.2356846,1706019158.2545156,1706019158.28609
hczfz,4,vectorized_logs,1706019157.5161655,1706019157.6033037,1706019157.6374907,1706019158.2862518,1706019158.3221214
hczfz,5,vectorized_logs,1706019157.618394,1706019157.6381214,1706019157.6588492,1706019158.3222597,1706019158.3563206
hczfz,6,vectorized_logs,1706019157.719299,1706019157.760095,1706019157.7909331,1706019158.3564467,1706019158.3869998
hczfz,7,vectorized_logs,1706019157.8206906,1706019157.8921716,1706019157.9231143,1706019158.3871353,1706019158.4190664
hczfz,8,vectorized_logs,1706019157.9218283,1706019157.923645,1706019157.9439688,1706019158.4192133,1706019158.4526737
hczfz,9,vectorized_logs,1706019158.0235176,1706019158.0452242,1706019158.0758538,1706019158.4528165,1706019158.4915788
hczfz,10,vectorized_logs,1706019158.1242795,1706019158.1771948,1706019158.2083607,1706019158.4917226,1706019158.5271716
hczfz,11,vectorized_logs,1706019158.2257028,1706019158.3099527,1706019158.3412986,1706019158.5273159,1706019158.565092
hczfz,12,vectorized_logs,1706019158.3275173,1706019158.342015,1706019158.3633406,1706019158.5652237,1706019158.6050258
hczfz,13,vectorized_logs,1706019158.4291217,1706019158.4647977,1706019158.4971392,1706019158.6051617,1706019158.6421678
hczfz,14,vectorized_logs,1706019158.5306067,1706019158.5985413,1706019158.6315548,1706019158.6423059,1706019158.6731725
hczfz,15,vectorized_logs,1706019158.6314173,1706019158.6321344,1706019158.6525958,1706019158.6733167,1706019158.7052393
dpjfq,11,vectorized_logs,1706019158.2390387,1706019158.317018,1706019158.3496614,1706019158.7054584,1706019158.742476
wc4q6,11,vectorized_logs,1706019158.2373514,1706019158.3372445,1706019158.370966,1706019158.742606,1706019158.7749104
dpjfq,12,vectorized_logs,1706019158.3410084,1706019158.3502178,1706019158.370462,1706019158.7750456,1706019158.8127403
wc4q6,12,vectorized_logs,1706019158.3379803,1706019158.3715906,1706019158.3915608,1706019158.812899,1706019158.8486989
dpjfq,13,vectorized_logs,1706019158.4435058,1706019158.4715476,1706019158.5023394,1706019158.8488398,1706019158.8834248
wc4q6,13,vectorized_logs,1706019158.442959,1706019158.4931748,1706019158.523213,1706019158.8835962,1706019158.918448
dpjfq,14,vectorized_logs,1706019158.5453858,1706019158.6034532,1706019158.6342723,1706019158.9185905,1706019158.9513342
wc4q6,14,vectorized_logs,1706019158.5443335,1706019158.624878,1706019158.6571462,1706019158.951471,1706019158.9826038
dpjfq,15,vectorized_logs,1706019158.647121,1706019158.7354803,1706019158.7666092,1706019158.9827497,1706019159.0221727
wc4q6,15,vectorized_logs,1706019158.6458952,1706019158.6577103,1706019158.6777077,1706019159.0223713,1706019159.0638654
dpjfq,16,vectorized_logs,1706019158.7486603,1706019158.7671268,1706019158.7871099,1706019159.0640182,1706019159.1064694
wc4q6,16,vectorized_logs,1706019158.7492142,1706019158.7791615,1706019158.810222,1706019159.1065972,1706019159.148891
dpjfq,17,vectorized_logs,1706019158.851011,1706019158.888253,1706019158.918765,1706019159.1490636,1706019159.1885438
wc4q6,17,vectorized_logs,1706019158.8508465,1706019158.9117084,1706019158.9431841,1706019159.1886957,1706019159.2217183
dpjfq,18,vectorized_logs,1706019158.953157,1706019159.0199027,1706019159.0507438,1706019159.2218585,1706019159.2584631
wc4q6,18,vectorized_logs,1706019158.9526873,1706019159.0450695,1706019159.0760913,1706019159.2586136,1706019159.2940032
dpjfq,19,vectorized_logs,1706019159.0544617,1706019159.1519902,1706019159.1833107,1706019159.294138,1706019159.3296647
wc4q6,19,vectorized_logs,1706019159.0539904,1706019159.0765667,1706019159.0964632,1706019159.3298018,1706019159.370487
dpjfq,20,vectorized_logs,1706019159.1552196,1706019159.183807,1706019159.2035968,1706019159.3706284,1706019159.4046667
wc4q6,20,vectorized_logs,1706019159.155778,1706019159.1976838,1706019159.229846,1706019159.404798,1706019159.439181
dpjfq,21,vectorized_logs,1706019159.2572396,1706019159.3048184,1706019159.3364182,1706019159.4393184,1706019159.474397
wc4q6,21,vectorized_logs,1706019159.257314,1706019159.3311996,1706019159.3643532,1706019159.4745216,1706019159.5106819
dpjfq,22,vectorized_logs,1706019159.359085,1706019159.4377844,1706019159.4695835,1706019159.5108228,1706019159.5465322
wc4q6,22,vectorized_logs,1706019159.3592026,1706019159.364931,1706019159.3881466,1706019159.5466907,1706019159.5884838
dpjfq,23,vectorized_logs,1706019159.4602292,1706019159.4700778,1706019159.489998,1706019159.5886579,1706019159.6317213
wc4q6,23,vectorized_logs,1706019159.4609637,1706019159.4890258,1706019159.5098453,1706019159.6318667,1706019159.6647294
dpjfq,24,vectorized_logs,1706019159.5629935,1706019159.5912282,1706019159.6219242,1706019159.6648579,1706019159.703114
wc4q6,24,vectorized_logs,1706019159.5625541,1706019159.611162,1706019159.6418574,1706019159.7032523,1706019159.7422283
