id_node,id,type,log_creation_time,catch_time,after_preprocess_time,server_catch_time,completion_time,size
92nf5,1,logs,1706631880.0206065,1706631880.0381157,1706631880.0381193,1706631880.0411844,1706631880.3306823,834
92nf5,2,logs,1706631880.2215762,1706631880.2219365,1706631880.2219589,1706631880.330752,1706631880.44755,750
92nf5,3,logs,1706631880.4223142,1706631880.4226582,1706631880.422664,1706631880.4476104,1706631880.5612087,569
92nf5,4,logs,1706631880.6230538,1706631880.623387,1706631880.623392,1706631880.6258018,1706631880.752685,573
92nf5,5,logs,1706631880.823883,1706631880.82423,1706631880.8242345,1706631880.8258398,1706631880.9640799,589
92nf5,6,logs,1706631881.0246215,1706631881.0249374,1706631881.0249424,1706631881.0265214,1706631881.1541872,576
92nf5,7,logs,1706631881.225275,1706631881.22557,1706631881.2255747,1706631881.227031,1706631881.3525698,582
92nf5,8,logs,1706631881.4260414,1706631881.4264145,1706631881.4264202,1706631881.4277866,1706631881.5605571,581
92nf5,9,logs,1706631881.6269083,1706631881.627278,1706631881.627283,1706631881.628751,1706631881.7558389,580
92nf5,10,logs,1706631881.8277633,1706631881.8282053,1706631881.8282125,1706631881.8297994,1706631881.9598014,585
92nf5,11,logs,1706631882.0286515,1706631882.0290647,1706631882.0290701,1706631882.0305896,1706631882.1589832,579
92nf5,12,logs,1706631882.2294314,1706631882.2297826,1706631882.229788,1706631882.2311742,1706631882.3662617,580
92nf5,13,logs,1706631882.4301736,1706631882.4305532,1706631882.4305582,1706631882.4319794,1706631882.5602207,574
92nf5,14,logs,1706631882.6310303,1706631882.6313543,1706631882.6313586,1706631882.6329,1706631882.7609315,581
92nf5,15,logs,1706631882.8319428,1706631882.8323061,1706631882.8323114,1706631882.8338532,1706631882.9638379,585
92nf5,16,logs,1706631883.0327153,1706631883.0330367,1706631883.0330415,1706631883.0344958,1706631883.1605482,580
92nf5,17,logs,1706631883.2334535,1706631883.2337546,1706631883.2337687,1706631883.2354164,1706631883.372086,587
92nf5,18,logs,1706631883.4343972,1706631883.434807,1706631883.4348123,1706631883.4362597,1706631883.5605729,579
92nf5,19,logs,1706631883.635157,1706631883.6354892,1706631883.6354947,1706631883.637194,1706631883.7672,579
92nf5,20,logs,1706631883.8359113,1706631883.8362253,1706631883.8362298,1706631883.837701,1706631883.970282,578
92nf5,21,logs,1706631884.0366378,1706631884.037038,1706631884.0370455,1706631884.0387712,1706631884.1716485,588
92nf5,22,logs,1706631884.237836,1706631884.2381527,1706631884.2381573,1706631884.2397842,1706631884.3641114,584
92nf5,23,logs,1706631884.4389865,1706631884.439301,1706631884.4393058,1706631884.4411426,1706631884.5774083,585
92nf5,24,logs,1706631884.6401708,1706631884.6405976,1706631884.6406043,1706631884.642297,1706631884.7716246,584
92nf5,25,logs,1706631884.8410723,1706631884.8414364,1706631884.8414416,1706631884.8431466,1706631884.9711068,576
92nf5,26,logs,1706631885.0421126,1706631885.042509,1706631885.0425155,1706631885.0441895,1706631885.1660082,589
92nf5,27,logs,1706631885.2429607,1706631885.2433863,1706631885.243393,1706631885.2450087,1706631885.3839138,572
92nf5,28,logs,1706631885.4440465,1706631885.44447,1706631885.444476,1706631885.4461884,1706631885.586141,579
92nf5,29,logs,1706631885.64525,1706631885.6456494,1706631885.6456542,1706631885.6473591,1706631885.7656412,579
92nf5,30,logs,1706631885.8464808,1706631885.8468456,1706631885.8468509,1706631885.8484657,1706631885.9757214,574
92nf5,31,logs,1706631886.0474105,1706631886.0477474,1706631886.0477524,1706631886.04948,1706631886.1885297,583
92nf5,32,logs,1706631886.2483315,1706631886.248673,1706631886.2486784,1706631886.2502165,1706631886.380533,578
92nf5,33,logs,1706631886.4492557,1706631886.449632,1706631886.4496388,1706631886.4510887,1706631886.5722268,572
92nf5,34,logs,1706631886.6499925,1706631886.6503665,1706631886.6503718,1706631886.651936,1706631886.7752206,574
92nf5,35,logs,1706631886.8507605,1706631886.8511071,1706631886.8511117,1706631886.8527281,1706631886.995147,575
92nf5,36,logs,1706631887.051593,1706631887.0519693,1706631887.0519757,1706631887.053512,1706631887.1815293,572
92nf5,37,logs,1706631887.2523384,1706631887.2526834,1706631887.2526886,1706631887.254317,1706631887.3861406,582
92nf5,38,logs,1706631887.4531288,1706631887.4535146,1706631887.4535198,1706631887.4550583,1706631887.5811079,578
92nf5,39,logs,1706631887.6538763,1706631887.6542232,1706631887.6542277,1706631887.6557484,1706631887.784026,579
92nf5,40,logs,1706631887.854857,1706631887.85517,1706631887.8551745,1706631887.8569868,1706631887.9844089,572
92nf5,41,logs,1706631888.0556097,1706631888.056008,1706631888.0560124,1706631888.0575862,1706631888.1809745,572
92nf5,42,logs,1706631888.2564278,1706631888.2567496,1706631888.256755,1706631888.2583513,1706631888.3891878,586
92nf5,43,logs,1706631888.4572203,1706631888.457525,1706631888.4575288,1706631888.4588456,1706631888.5941477,570
92nf5,44,logs,1706631888.6579063,1706631888.6581917,1706631888.6581957,1706631888.6596684,1706631888.7876499,571
92nf5,45,logs,1706631888.8586044,1706631888.8589313,1706631888.8589358,1706631888.860502,1706631888.9928074,579
92nf5,46,logs,1706631889.0598025,1706631889.0601861,1706631889.0601926,1706631889.061896,1706631889.1932442,568
92nf5,47,logs,1706631889.2606153,1706631889.2610874,1706631889.2610946,1706631889.262791,1706631889.3888025,586
92nf5,48,logs,1706631889.4614313,1706631889.4618502,1706631889.4618573,1706631889.463471,1706631889.600893,579
92nf5,49,logs,1706631889.6622288,1706631889.6626108,1706631889.6626165,1706631889.6642623,1706631889.7997746,574
92nf5,50,logs,1706631889.8629584,1706631889.863294,1706631889.863299,1706631889.8649359,1706631890.0025382,586
92nf5,51,logs,1706631890.0637019,1706631890.064016,1706631890.064021,1706631890.065636,1706631890.193273,576
92nf5,52,logs,1706631890.264418,1706631890.2647398,1706631890.2647445,1706631890.2661722,1706631890.3892198,579
92nf5,53,logs,1706631890.4651365,1706631890.4654894,1706631890.4654946,1706631890.4671235,1706631890.6110842,721
92nf5,54,logs,1706631890.6659625,1706631890.6663132,1706631890.666319,1706631890.6680498,1706631890.808366,754
92nf5,55,logs,1706631890.8666606,1706631890.8669736,1706631890.866978,1706631890.8685474,1706631891.0064764,760
92nf5,56,logs,1706631891.0673504,1706631891.0676825,1706631891.0676875,1706631891.0695803,1706631891.1934364,753
92nf5,57,logs,1706631891.268161,1706631891.2684822,1706631891.2684867,1706631891.2703393,1706631891.3928075,757
92nf5,58,logs,1706631891.4689379,1706631891.469309,1706631891.4693143,1706631891.4711797,1706631891.6166492,761
92nf5,59,logs,1706631891.6698806,1706631891.6702619,1706631891.6702673,1706631891.6720686,1706631891.801271,759
92nf5,60,logs,1706631891.870609,1706631891.8709712,1706631891.8709762,1706631891.8728569,1706631892.0007806,764
